Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bryce Harper","PHI",78,339,286,80,46,16,2,16,51,49,47,5,72,3,3,1,6,7,2,0.280011,0.137942,0.211702,0.651585,0.383648,0.520363,0.385098,0.904011,0.240352,4.7332,0.317215,,0.136135,59.032,20.2848,149.186,0.136135,-0.19,19.500551387667656,-7.166864335536957,2.49205,189.60000610351562,,,,"11579"
"Yoán Moncada","CHW",132,555,490,118,73,25,2,18,66,63,56,3,143,5,3,1,9,3,1,0.240684,0.100536,0.258464,0.388974,0.322325,0.41014,0.320452,0.732465,0.169456,3.42947,0.30049,,-0.328518,68.1439,4.71795,108.611,-0.328518,-0.12,5.046382576227188,0.9556616619229317,2.48513,290.7099914550781,,,,"17232"
"Nico Hoerner","CHC",137,560,513,143,106,26,4,7,66,52,33,3,71,7,4,3,11,17,5,0.278414,0.0585034,0.126098,0.46395,0.327596,0.385518,0.311962,0.713114,0.107104,5.72071,0.309121,,0.91339,65.014,0.985679,100.972,0.91339,0.81,1.5460672974586487,3.074963629245758,2.46328,136.0399932861328,,,,"21479"
"Thairo Estrada","SFG",136,545,499,131,92,24,3,12,67,53,32,0,97,9,4,1,11,16,5,0.262376,0.0585364,0.177181,0.330376,0.316494,0.393347,0.311792,0.709841,0.130972,5.79726,0.302605,,0.742631,63.1678,0.88531,102.199,0.742631,-0.29,2.13420170545578,2.9432317912578583,2.45727,166.6300048828125,,,,"16426"
"Andrew Benintendi","CHW",126,529,467,122,83,22,2,14,65,56,53,2,90,4,5,1,10,9,3,0.261342,0.100363,0.169966,0.590491,0.338856,0.410209,0.328624,0.749066,0.148867,4.70501,0.293519,,0.204994,68.4846,7.94079,114.38,0.204994,3.45,8.772889256477356,-2.3718979358673096,2.44273,210.4600067138672,,,,"17901"
"Steven Kwan","CLE",141,607,542,150,112,28,4,6,72,58,53,2,63,6,4,2,13,13,3,0.275805,0.0879907,0.104019,0.845907,0.344404,0.374785,0.318409,0.71919,0.0989799,5.24856,0.300937,,0.540574,73.627,4.18002,107.577,0.540574,3.56,5.71902072429657,-1.9488492012023926,2.42688,121.3499984741211,,,,"24610"
"Brendan Rodgers","COL",132,548,499,140,93,30,2,15,68,66,38,1,99,7,4,0,14,1,0,0.280092,0.0687219,0.181028,0.37962,0.33696,0.438838,0.337663,0.775798,0.158747,2.84548,0.320814,,-0.532738,74.8564,12.1605,103.282,-0.532738,1.01,1.5579086542129517,3.041898250579834,2.41989,263.44000244140625,,,,"17907"
"Ke'Bryan Hayes","PIT",137,581,523,134,95,27,3,9,68,54,49,0,117,5,4,1,12,15,4,0.256876,0.0835063,0.201417,0.414594,0.323099,0.372944,0.308057,0.696043,0.116069,5.43067,0.312252,,0.599929,65.7082,-0.780185,97.4424,0.599929,3.01,-1.127899706363678,4.519887447357178,2.41024,170.8300018310547,,,,"18577"
"Anthony Rizzo","NYY",135,571,489,115,67,22,1,26,73,72,58,4,100,20,4,0,11,7,3,0.236047,0.102239,0.175074,0.583977,0.338707,0.44019,0.339767,0.778897,0.204143,3.58739,0.244539,,-0.308021,78.8967,13.6161,123.599,-0.308021,0.13,14.852546691894531,-10.41440498828888,2.37517,153.1699981689453,,,,"3473"
"Lars Nootbaar","STL",127,499,434,105,66,19,3,17,63,58,59,4,107,3,3,0,9,6,2,0.241059,0.117773,0.214598,0.548807,0.333393,0.413025,0.326026,0.746418,0.171966,4.61635,0.280336,,0.00824352,63.5291,6.45558,113.694,0.00824352,1.85,7.94973321352154,-2.2638310194015503,2.36023,186.60000610351562,,,,"21454"
