Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Luis González","SFG",39,148,132,31,21,7,1,3,16,14,14,0,35,2,1,0,3,4,1,0.237424,0.0935201,0.238055,0.39285,0.314788,0.363092,0.301198,0.67788,0.125669,5.42172,0.301467,-0.252595,0.221514,15.9515,-1.0071,94.312,-0.0310808,-1.44326,-0.9957803506404161,-2.677936553955078,0.124217,730.47998046875,3.89832,0.739883,1.49648,"20332"
"Miles Mastrobuoni","CHC",7,26,24,6,5,1,0,0,3,2,2,0,6,0,0,0,0,1,0,0.258588,0.0843431,0.21477,0.392713,0.321782,0.360886,0.304055,0.682668,0.102298,4.65343,0.321158,-0.121793,0.109065,2.85905,-0.117686,96.2968,-0.0127278,0.33799,-0.12297118734568357,0.4477686360478401,0.123613,749.7899780273438,2.3248,2.20782,1.88162,"20017"
"Tommy La Stella","SEA",48,186,168,41,29,8,0,4,19,17,15,0,29,1,2,1,3,0,0,0.242292,0.0807502,0.154758,0.521782,0.307226,0.360186,0.295755,0.667412,0.117893,2.46734,0.269758,-0.293517,-0.169312,19.2447,-2.072,96.542,-0.462829,-0.390726,-1.1882473826408386,-3.6245745718479156,0.118095,749.4199829101562,2.5794,-0.733911,1.287,"12371"
"Brent Rooker","OAK",10,36,33,7,4,2,0,2,4,5,3,0,12,0,0,0,1,0,0,0.22921,0.0810486,0.335258,0.24175,0.302212,0.442416,0.324314,0.744629,0.213206,2.22643,0.309877,-0.0132292,-0.014721,4.53695,0.417008,117.12,-0.0279502,-0.288087,0.6661888640373945,-0.7419370412826538,0.112538,999,4.29627,1.78129,1.77389,"19627"
"Chad Pinder",,69,264,246,58,36,12,0,9,30,31,15,0,77,2,2,1,5,1,0,0.235413,0.0550039,0.290648,0.189246,0.281,0.396229,0.295084,0.677229,0.160816,2.62786,0.302026,-0.0950349,-0.156559,27.1172,-3.07561,82.0501,-0.251594,-1.9332,-5.758266508579254,-2.0793872624635696,0.109852,665.1500244140625,2.56953,-0.733893,0.808427,"15191"
"Pedro Severino",,26,93,86,19,14,3,0,2,9,10,7,0,24,0,0,0,1,0,0,0.224155,0.0741434,0.262421,0.282536,0.284282,0.34141,0.278205,0.625692,0.117256,1.72555,0.286782,-0.167608,-0.0741552,8.30927,-2.33182,78.3387,-0.241764,-1.46864,-2.5469729751348495,0.5435618162155151,0.109626,750.6500244140625,3.88611,0.674825,1.54416,"14523"
"Gabriel Arias","CLE",37,148,135,32,22,6,0,4,16,15,10,0,38,2,1,1,2,2,0,0.237802,0.0645521,0.257382,0.250803,0.294506,0.373263,0.294025,0.667769,0.135461,4.21995,0.302097,-0.09754,0.0350587,15.0713,-1.84802,90.362,-0.0624813,-1.23465,-1.6672580540180206,-2.0058788657188416,0.109154,732.9400024414062,3.5313,2.92989,1.38876,"22563"
"Kyle Garlick",,35,98,91,20,11,5,0,4,12,11,5,0,30,1,1,0,1,0,0,0.221405,0.0514915,0.304925,0.168866,0.267832,0.409318,0.293335,0.67715,0.187913,2.00519,0.277345,0.0143398,-0.0809286,9.91251,-1.27566,91.4364,-0.0665888,0,-1.0094711557030678,-1.0785326957702637,0.107974,750.4000244140625,2.30121,0.394768,1.45725,"18063"
"David Hamilton","BOS",8,32,29,7,5,1,0,1,4,3,3,0,8,0,0,0,0,2,0,0.234371,0.0845829,0.234061,0.361371,0.299731,0.374141,0.29807,0.673872,0.13977,5.34431,0.285713,-0.0159564,0.173704,3.38561,-0.298877,87.734,0.157747,0.0659724,-0.28701256215572357,0.2807658910751343,0.1071,999,1.10055,-0.33213,1.86852,"sa3014434"
"Johan Camargo",,21,74,68,16,11,3,0,1,7,7,6,0,15,0,0,0,1,0,0,0.228778,0.0805787,0.204386,0.394248,0.294206,0.335851,0.281604,0.630057,0.107073,1.41477,0.276339,-0.0352938,-0.0729856,6.84623,-1.66388,80.7,-0.108279,-0.168472,-1.7508856654167175,0.2788649648427963,0.101341,999,2.47928,0.61287,1.64419,"14950"
