Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Matt Carpenter","SDP",109,434,370,80,45,17,1,16,50,51,50,1,118,8,3,2,,3,1,0.215249,0.1161,0.271206,0.428088,0.319469,0.39736,0.31639,0.716829,0.182111,3.51605,0.266302,-1.257,-0.284734,51.8699,2.28882,107.407,-1.54173,-0.629,2.1899330615997314,-9.295999825000763,0.785647,460.4599914550781,,,,"8090"
"Nick Castellanos","PHI",141,602,552,142,88,32,1,20,69,76,37,1,137,6,5,2,,5,2,0.256296,0.062,0.226904,0.273243,0.307971,0.428541,0.319326,0.736513,0.172246,3.5102,0.303135,-0.355,-0.408435,73.4028,4.58061,104.213,-0.763435,-6.067,2.1823739409446716,-14.950000286102295,0.785639,129.10000610351562,,,,"11737"
"Trey Mancini","CHC",122,513,455,111,71,23,1,16,56,57,45,2,119,7,4,2,,1,0,0.244035,0.0878,0.232548,0.377556,0.319571,0.407121,0.318,0.726692,0.163086,2.37313,0.293182,-0.462,-0.479237,62.0191,3.36357,105.101,-0.941237,-0.026,2.0989522337913513,-11.878999687731266,0.785236,259.25,,,,"15149"
"Edward Olivares","KCR",86,359,326,84,56,16,1,10,39,41,24,0,69,4,3,1,,7,3,0.25644,0.0671001,0.193239,0.34724,0.313395,0.405114,0.314131,0.718509,0.148674,4.27883,0.295257,0.197,-0.206926,42.2963,1.25058,101.428,-0.0099256,-1.33,0.5667086262255907,-4.543000102043152,0.782918,334.7900085449219,,,,"19698"
"Matt Vierling","DET",81,320,290,75,51,14,2,7,34,32,22,0,64,3,2,2,,8,3,0.257138,0.0700999,0.2,0.3505,0.31509,0.392117,0.310453,0.707207,0.13498,5.41521,0.305832,0.122,0.116789,36.8002,0.179811,103.364,0.238789,-0.652,1.451058253645897,-4.215999901294708,0.780684,488.44000244140625,,,,"21558"
"Victor Robles","WSN",113,438,395,90,60,19,2,8,44,40,26,0,110,10,3,3,,16,5,0.227645,0.0597999,0.250009,0.239191,0.290352,0.350041,0.283547,0.640393,0.122396,5.72293,0.290986,-0.035,0.803616,41.0134,-9.12644,79.7015,0.768616,0.343,-9.572577059268951,2.2329999804496765,0.778393,499.3800048828125,,,,"18363"
"Nick Senzel","CIN",109,424,382,95,66,20,1,9,45,42,32,0,76,4,3,3,,11,4,0.24944,0.0742999,0.178796,0.415558,0.311284,0.375911,0.303304,0.687195,0.126471,4.45327,0.287542,-0.064,0.117407,46.341,-2.17121,87.6707,0.0534066,-2.798,-6.0239158645272255,-0.9890000820159912,0.762406,504.6300048828125,,,,"19293"
"Connor Joe","PIT",62,272,231,54,36,11,1,6,32,24,33,0,58,4,2,2,,4,1,0.234026,0.1201,0.215177,0.558144,0.335247,0.372044,0.316346,0.707291,0.138018,4.70487,0.285307,-0.054,-0.101203,32.476,1.42386,103.11,-0.155203,0.855,0.8260816931724548,-2.763000011444092,0.755957,585.1300048828125,,,,"16572"
"Brian Anderson","MIL",109,458,403,91,58,18,1,13,48,48,42,2,126,7,3,2,,3,1,0.225014,0.0918001,0.276276,0.332276,0.307155,0.371776,0.299791,0.678931,0.146762,3.37082,0.291084,0.119,-0.34105,48.6986,-3.61833,91.8261,-0.22205,-0.419,-4.567092165350914,-3.632000058889389,0.755406,440.0199890136719,,,,"18289"
"Bo Naylor","CLE",52,208,181,39,24,8,1,6,23,22,22,0,58,2,2,1,,3,1,0.213061,0.1043,0.276014,0.377879,0.302736,0.36786,0.297604,0.670596,0.154799,4.52861,0.272506,0,-0.0516092,21.8224,-2.01042,92.8892,-0.0516092,0.011,-1.7193931639194489,2.3920000419020653,0.74765,329.5,,,,"21865"
