splits,gamesPlayed,runs,hits,atBats,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,groundIntoTriplePlay,plateAppearances,totalBases,leftOnBase,catchersInterference,pickoffs,atBatsPerHomeRun,full_name,position,position_type,team,game_location,opp,order,DKPts,note,team_hits,team_singles,team_rbi,team_runs,team_doubles,team_triples,team_homeRuns,team_strikeOuts,team_baseOnBalls,team_hitByPitch,team_stolenBases,season,game_date,team_DKPts,singles,bats,doubles,triples,homeRuns,rbi,baseOnBalls,hitByPitch,strikeOuts,intentionalWalks,flyOuts,groundOuts,sacFlies,sacBunts,launchSpeed,launchAngle,distance,DKPts_splits,wOBA,AVG,OBP,SLG,OPS,ISO,SB_perAtBat,DKPts_share,hits_share,runs_share,singles_share,doubles_share,triples_share,homeRuns_share,rbi_share,stolenBases_share,baseOnBalls_share,exWOBA,RotoName,opp_pitcher_id,Roster Position,Salary,opp_pitcher_hand
vs_LHP,1,2,3,5,0,0,.---,0,0,5,5,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,DET,9,18,,17,13,8,10,2,1,1,5,4,0,0,2013,2013-06-21,111,0.0,R,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,0.3232,0.6,0.6,0.6,1.2,0.0,0.0,0.1621621621621621,0.1764705882352941,0.2,0.0,0.0,1.0,0.0,0.0,,0.0,,joseigles,450729,SS,2800.0,R
vs_RHP,1,0,2,3,0,0,.---,0,0,3,2,0,0,0,-.--,jose iglesias,,Infielder,BOS,away,DET,9,6,,10,8,2,3,1,0,1,7,1,0,0,2013,2013-06-22,51,2.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,6.0,0.592,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.0,0.1176470588235294,0.2,0.0,0.25,0.0,,0.0,0.0,,0.0,,joseigles,453286,SS,2700.0,R
vs_LHP,1,0,0,3,0,0,.---,0,0,4,0,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,DET,9,2,0,12,10,5,5,2,0,0,6,3,1,1,2013,2013-06-23,73,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,joseigles,434378,SS,2800.0,R
vs_LHP,1,2,3,5,0,0,.---,0,0,5,4,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,COL,9,17,,20,14,10,11,5,1,0,6,5,0,2,2013,2013-06-25,137,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,4.0,0.0,0.6,0.6,0.0,0.6,-0.6,0.0,0.1240875912408759,0.15,0.1818181818181818,0.0,0.0,0.0,,0.0,0.0,0.0,,joseigles,504379,SS,3400.0,R
vs_RHP,1,0,0,4,0,0,.---,1,0,4,0,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,COL,9,0,,10,6,5,5,3,1,0,6,3,0,0,2013,2013-06-26,67,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,joseigles,400061,SS,3800.0,R
vs_LHP,1,1,1,3,0,0,.---,0,0,3,1,0,0,0,-.--,jose iglesias,,Infielder,BOS,home,TOR,9,7,,9,5,7,7,3,0,1,8,3,0,0,2013,2013-06-27,74,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.0,0.0945945945945946,0.1111111111111111,0.1428571428571428,0.0,0.0,,0.0,0.0,,0.0,,joseigles,425426,SS,3900.0,R
vs_LHP,1,1,2,4,0,1,1.000,0,0,4,2,4,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TOR,9,13,0,15,12,7,7,1,2,0,8,4,0,1,2013,2013-06-28,98,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,7.0,0.0,0.5,0.5,0.0,0.5,-0.5,0.25,0.1326530612244898,0.1333333333333333,0.1428571428571428,0.0,0.0,0.0,,0.0,1.0,0.0,,joseigles,435178,SS,3500.0,R
vs_LHP,1,1,1,4,0,0,.---,0,0,4,1,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TOR,8,5,0,10,8,2,2,2,0,0,10,2,0,0,2013,2013-06-29,46,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.222,0.25,0.25,0.25,0.5,0.0,0.0,0.108695652173913,0.1,0.5,0.125,0.0,,,0.0,,0.0,,joseigles,469134,SS,3800.0,R
vs_LHP,1,0,1,4,0,0,.---,0,0,4,1,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,TOR,8,3,0,9,6,4,5,3,0,0,6,2,1,0,2013,2013-06-30,57,1.0,R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,,,3.0,0.222,0.25,0.25,0.25,0.5,0.0,0.0,0.0526315789473684,0.1111111111111111,0.0,0.1666666666666666,0.0,,,0.0,,0.0,,joseigles,279824,SS,3500.0,L
vs_LHP,1,0,2,3,0,0,.---,0,0,3,2,0,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,SD,9,8,0,9,6,4,4,3,0,0,6,6,0,2,2013,2013-07-02,71,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.1126760563380281,0.2222222222222222,0.0,0.0,0.0,,,0.0,0.0,0.0,,joseigles,572362,SS,3500.0,L
vs_RHP,1,0,0,2,0,0,.---,0,0,3,0,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,SD,9,2,0,9,4,2,2,4,0,1,9,2,1,1,2013,2013-07-03,61,0.0,R,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,2.0,0.2406666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0327868852459016,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,joseigles,450172,SS,3400.0,R
vs_LHP,1,1,2,4,0,0,.---,0,0,4,3,1,0,0,-.--,jose iglesias,SS,Infielder,BOS,home,SD,9,12,0,18,10,8,8,6,0,2,3,0,1,0,2013,2013-07-04,114,0.0,R,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,0.31775,0.5,0.5,0.5,1.0,0.0,0.0,0.1052631578947368,0.1111111111111111,0.125,0.0,0.1666666666666666,,0.0,0.125,,,,joseigles,445590,SS,3500.0,L
vs_LHP,1,0,1,3,0,0,.---,0,0,4,1,2,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,LAA,9,5,0,13,10,4,6,1,0,2,8,2,0,1,2013,2013-07-05,84,1.0,R,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.3944999999999999,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.0,0.0595238095238095,0.0769230769230769,0.0,0.1,0.0,,0.0,0.0,0.0,0.5,,joseigles,450351,SS,2800.0,L
vs_LHP,1,0,1,5,0,0,.---,0,0,6,1,3,0,0,-.--,jose iglesias,,Infielder,BOS,away,LAA,9,7,0,12,7,6,7,4,1,0,12,7,0,2,2013,2013-07-06,99,0.0,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.1149999999999999,0.2,0.3333333333333333,0.0,0.3333333333333333,-0.2,0.0,0.0707070707070707,0.0833333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.1428571428571428,,joseigles,425532,SS,2700.0,R
vs_RHP,1,0,0,3,0,0,.---,0,0,3,0,4,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,LAA,9,0,,5,4,0,0,1,0,0,10,2,0,0,2013,2013-07-07,21,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,joseigles,450308,SS,2700.0,R
vs_LHP,1,1,0,3,0,0,.---,0,0,4,0,3,0,0,-.--,jose iglesias,SS,Infielder,BOS,away,SEA,8,4,0,10,8,3,4,2,0,0,7,2,2,0,2013,2013-07-08,56,0.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.25,0.0,0.0,,,0.0,,0.0,,joseigles,433587,SS,2500.0,R
